Ticker,Name
BTCQ.TO,3iQ Bitcoin ETF
ETHQ.TO,3iQ Ether Staking ETF
VNP.TO,5N Plus Inc.
AAB.TO,Aberdeen International Inc.
FAP.TO,abrdn Asia-Pacific Income Fund VCC
ADN.TO,Acadian Timber Corp.
HDGE.TO,Accelerate Absolute Return Fund
ARB.TO,Accelerate Arbitrage Fund
ATSX.TO,Accelerate Canadian Long Short Equity Fund
ONEC.TO,Accelerate OneChoice Alternative Portfolio ETF
ACD.TO,Accord Financial Corp.
ARA.TO,Aclara Resources Inc.
ADCO.TO,Adcore Inc.
ADEN.TO,ADENTRA Inc.
DRX.TO,ADF Group Inc.
AAV.TO,Advantage Energy Ltd.
ARE.TO,Aecon Group Inc.
AEG.TO,Aegis Brands Inc.
AEZS.TO,AEterna Zentaris Inc.
AOI.TO,Africa Oil Corp.
AFN.TO,Ag Growth International Inc.
QCD.TO,AGF Systematic Canadian Equity ETF
QEM.TO,AGF Systematic Emerging Markets Equity ETF
QIE.TO,AGF Systematic International Equity ETF
QUS.TO,AGF Systematic US Equity ETF
QBTL.TO,AGF US Market Neutral Anti-Beta CAD-Hedged ETF
AEM.TO,Agnico Eagle Mines Limited
AIM.TO,Aimia Inc.
AC.TO,Air Canada
BOS.TO,AirBoss of America Corp.
AGI.TO,Alamos Gold Inc.
ALC.TO,Algoma Central Corporation
ASTL.TO,Algoma Steel Group Inc.
AQN.TO,Algonquin Power & Utilities Corp.
ATD.TO,Alimentation Couche-Tard Inc.
ALYA.TO,Alithya Group inc.
AAUC.TO,Allied Gold Corporation
AMM.TO,Almaden Minerals Ltd.
AII.TO,Almonty Industries Inc.
ATCU.TO,Alta Copper Corp.
ALA.TO,AltaGas Ltd.
ALS.TO,Altius Minerals Corporation
ARR.TO,Altius Renewable Royalties Corp.
AIF.TO,Altus Group Limited
USA.TO,Americas Gold and Silver Corporation
ARG.TO,Amerigo Resources Ltd.
ANRG.TO,Anaergia Inc.
AND.TO,Andlauer Healthcare Group Inc.
ATE.TO,Antibe Therapeutics Inc.
APLI.TO,Appili Therapeutics Inc.
APS.TO,Aptose Biosciences Inc.
ARX.TO,ARC Resources Ltd.
AR.TO,Argonaut Gold Inc.
ARIS.TO,Aris Mining Corporation
ATZ.TO,Aritzia Inc.
AMC.TO,Arizona Metals Corp.
ASCU.TO,Arizona Sonoran Copper Company Inc.
ADIV.TO,Arrow EC Equity Advantage Alternative Fund
RATE.TO,Arrow EC Income Advantage Alternative Fund
ACAA.TO,Arrow Long/Short Alternative Class
ASND.TO,Ascendant Resources Inc.
AOT.TO,Ascot Resources Ltd.
ATH.TO,Athabasca Oil Corporation
AI.TO,Atrium Mortgage Investment Corporation
ATS.TO,ATS Corporation
G.TO,Augusta Gold Corp.
ORA.TO,Aura Minerals Inc.
ACB.TO,Aurora Cannabis Inc.
ACQ.TO,AutoCanada Inc.
XLY.TO,Auxly Cannabis Group Inc.
AVL.TO,Avalon Advanced Materials Inc.
AVNT.TO,Avant Brands Inc.
AVCN.TO,Avicanna Inc.
ASM.TO,Avino Silver & Gold Mines Ltd.
AXIS.TO,Axis Auto Finance Inc.
AYA.TO,Aya Gold & Silver Inc.
BTO.TO,B2Gold Corp.
BDGI.TO,Badger Infrastructure Solutions Ltd.
BLDP.TO,Ballard Power Systems Inc.
BMO.TO,Bank of Montreal
BNS.TO,Bank of Nova Scotia (The)
ABX.TO,Barrick Gold Corporation
BLCO.TO,Bausch + Lomb Corporation
BHC.TO,Bausch Health Companies Inc.
BYL.TO,Baylin Technologies Inc.
BTE.TO,Baytex Energy Corp.
BCE.TO,BCE Inc.
BSX.TO,Belo Sun Mining Corp.
BNG.TO,Bengal Energy Ltd.
HGD.TO,BetaPro Canadian Gold Miners -2x Daily Bear ETF
HGU.TO,BetaPro Canadian Gold Miners 2x Daily Bull ETF
HOD.TO,BetaPro Crude Oil Inverse Leveraged Daily Bear ETF
HOU.TO,BetaPro Crude Oil Leveraged Daily Bull ETF
HBKD.TO,BetaPro Equal Weight Canadian Bank -2x Daily Bear ETF
HBKU.TO,BetaPro Equal Weight Canadian Bank 2x Daily Bull ETF
HRED.TO,BetaPro Equal Weight Canadian REIT -2x Daily Bear ETF
HREU.TO,BetaPro Equal Weight Canadian REIT 2x Daily Bull ETF
HBD.TO,BetaPro Gold Bullion -2x Daily Bear ETF
HBU.TO,BetaPro Gold Bullion 2x Daily Bull ETF
BITI.TO,BetaPro Inverse Bitcoin ETF
HQD.TO,BetaPro NASDAQ-100 -2x Daily Bear ETF
HQU.TO,BetaPro NASDAQ-100 2x Daily Bull ETF
HND.TO,BetaPro Natural Gas Inverse Leveraged Daily Bear ETF
HNU.TO,BetaPro Natural Gas Leveraged Daily Bull ETF
HSD.TO,BetaPro S&P 500 -2x Daily Bear ETF
HSU.TO,BetaPro S&P 500 2x Daily Bull ETF
HIU.TO,BetaPro S&P 500 Daily Inverse ETF
HUV.TO,BetaPro S&P 500 VIX Short-Term Futures ETF
